URLID,URL,TagID,Tag,Start,End,Time,State
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,17,Swiping Right,1.8,3.4,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,17,Swiping Right,5.1,7,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,17,Swiping Right,8.8,10.9,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,18,Swiping Up,12.6,14,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,18,Swiping Up,15.7,17.2,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,18,Swiping Up,18.7,20.5,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,15,Swiping Down,22.4,23.7,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,15,Swiping Down,25.9,27.3,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,15,Swiping Down,29.2,30.6,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,16,Swiping Left,32.5,34.1,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,16,Swiping Left,35.8,37.4,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,16,Swiping Left,39.1,40.8,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,20,Thumb Up,42.3,44.6,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,20,Thumb Up,46.2,48.3,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,20,Thumb Up,50,52.2,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,19,Thumb Down,54,56,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,19,Thumb Down,57.5,59.7,1,1
1,/ssd4/zhangyiyang/tomcat9/webapps/annotation-tool/input/videos/test.mp4,19,Thumb Down,61.4,63.2,1,1
